W,Q
4.036,0.101
4.0885,0.2175
4.09,0.231
4.16,0.52
4.275,1.0925
4.312453,1.34
4.371,1.775
4.42,2.31
4.444,2.702
4.46,2.77
4.555,4.541
4.643775,5.981887
4.685,5.863
4.686526,6.17519
4.70055,6.396175
4.733,6.53
4.75,6.77
4.795,8.381
4.822,8.42
5.082,14.512
5.197,18.89
5.25,20.763
5.42,29.1
5.473,26.1085
5.647,33.23633
5.653,34.62
