"W","Q"
524.79,5.892
524.82,5.371
524.833,6.655
524.84,8.4
524.842,7.90843
524.855,6.57
524.856,8.2562
524.91,11.14
524.961,13.3
525.195,25.355
525.197,30.3
525.256,30.1
525.398,47.1031
525.6794,81.13
525.907,115.38983
526.2377,174.54
526.304,193
526.42,210.7
526.6469,251.328
526.9,304.3
527.113,360
