W	Q
1.238	8.05
1.247	8.37
1.252	8.68
1.266	8.59
1.268	8.38
1.277	10.5
1.28	9.33
1.28	9.5
1.283	9.29
1.286	7.61
1.296	10.2
1.3	10.1
1.301	9.58
1.31	10.35
1.325	11.2
1.339	10.3
1.345	11.1
1.352	10.9
1.354	12.4
1.385	14.2
1.4125	16.8
1.413	15.2
1.467	18.5
1.47	19.1
1.48	19.4
1.566	24.4
1.626	27.5
1.63	29.6
1.658	31.7
