"W","Q"
9.183,0.423
9.189,0.409
9.213,0.62338
9.223,0.659
9.277131,1.137751
9.293,1.328
9.303,1.36
9.304,1.624
9.357,2.006
9.364,2.11
9.376,2.29
9.399,2.59
9.406,2.794
9.482,3.699
9.497,4.42
9.503,4.45
9.512,4.55
9.515,4.638
9.56,6.08
9.596,6.05
9.61,6.7
9.64,6.776
9.724,8.701
9.7295,8.39425
9.797,10.192
9.8,10.7
9.803,10.909
9.804,11.05
9.836,11.6
9.87,11.827
9.88,12.57675
9.958708,14.04
9.975,14.6405
9.994,16.3
10.084,19.8
10.168,21.77
