W,Q
7.773,0.0368
7.829,0.106
7.858,0.139
7.868,0.1408
7.911,0.233
7.93,0.29
7.958,0.418
7.96,0.4217
7.969,0.37408
7.98,0.391562
8.02,0.59305
8.02,0.58377
8.044,0.670841
8.045,0.679377
8.07,0.80893
8.08,0.776
8.09,0.947364
8.137,1.1677
8.152,1.148
8.163,1.2451
8.198,1.759617
8.2005,1.576
8.249242,2.110444
8.291,1.959
8.301,2.34425
8.368,3.001
8.439,3.964736
8.467,4.21
8.475,4.1
8.545,5.51317
8.681658,7.406
8.724,8.302
8.866,11.067
